timeline,mean_inst_0,mean_inst_1,mean_inst_2,mean_cumm_0,mean_cumm_1,mean_cumm_2,std_inst_0,std_inst_1,std_inst_2,std_cumm_0,std_cumm_1,std_cumm_2
0.284284284284,0.0040162043758,0.0524095165319,0.0195722411988,33612.7777604,133035.812819,114300.07262,0.00253678645085,0.0622336429898,0.0382384582433,19772.9486339,103892.143773,86088.4382407
0.284784784785,0.00401381479196,0.0524019935649,0.0195697850687,33624.0652342,133186.011023,114347.365773,0.00253671300082,0.0622327522117,0.0382389812227,19779.0096055,104062.683233,86124.1649629
0.285285285285,0.00401142520812,0.0523945320697,0.0195673289385,33635.3527081,133336.209226,114394.658926,0.00253665786455,0.0622318393864,0.0382395048761,19785.0733364,104233.303528,86159.9810383
0.285785785786,0.00400903562428,0.0523909682365,0.0195648728083,33646.640182,133486.379216,114441.952079,0.00253662104324,0.0622331309094,0.0382400292033,19791.1398239,104404.018393,86195.8863558
0.286286286286,0.00400664604044,0.0523848314259,0.0195624166781,33657.9276559,133636.209011,114489.245232,0.00253660253767,0.0622367931076,0.0382405542044,19797.2090655,104575.094705,86231.8808037
0.286786786787,0.00400425645659,0.0523775100048,0.0190611628524,33669.2151297,133785.925421,114532.601374,0.00253660234825,0.0622411742409,0.0371770346193,19803.2810588,104746.344762,86266.2157213
0.287287287287,0.00400186687275,0.0523701885838,0.0184602399671,33680.5026036,133935.641831,114575.170829,0.00253662047499,0.0622455736904,0.0363051032227,19809.3558011,104917.673752,86300.2836512
0.287787787788,0.00399940135333,0.0523628671627,0.0178593170818,33691.7645668,134085.358241,114617.740284,0.00253654386611,0.062249991452,0.0359038052323,19815.3737114,105089.081292,86334.4332978
0.288288288288,0.00399684341878,0.0523555457417,0.0173748143795,33702.9954829,134235.07465,114660.309739,0.00253634814339,0.0622544275219,0.0359341965354,19821.321886,105260.566995,86368.6645643
0.288788788789,0.00399157145581,0.0523474866741,0.0173723582493,33714.1070921,134384.709802,114702.879193,0.00252965179186,0.0622594280884,0.0359346099973,19826.9644895,105432.171367,86402.9773535
0.289289289289,0.0039783083165,0.0523377156024,0.0173699021191,33724.8288094,134534.196704,114745.448648,0.00250416875053,0.0622657445825,0.0359350241792,19831.7802589,105603.927891,86437.3715685
0.28978978979,0.0039650451772,0.0523279445307,0.017367445989,33735.5505267,134683.683607,114788.018103,0.00247995416675,0.0622720885903,0.035935439081,19836.598301,105775.761675,86471.847112
0.29029029029,0.00395178203789,0.0522626602564,0.0173649898588,33746.272244,134833.080194,114830.587558,0.00245704554339,0.0623055983186,0.0359358547027,19841.4186142,105947.76328,86506.4038869
0.290790790791,0.00393851889859,0.0521383867439,0.0173625337286,33756.9939614,134982.340545,114873.157013,0.00243547973311,0.0623452023659,0.0359362710444,19846.2411968,106119.956449,86541.0417957
0.291291291291,0.00392525575928,0.0521144954557,0.0173600775984,33767.7156787,135131.579038,114915.726467,0.00241529270556,0.0623501251651,0.0359366881059,19851.0660471,106292.248518,86575.7607412
0.291791791792,0.00391199261998,0.0520993415056,0.0173576170534,33778.437396,135280.817532,114958.281409,0.00239651930342,0.0623601216648,0.0359371072007,19855.8931636,106464.616113,86610.5513989
0.292292292292,0.00389872948068,0.0520841875556,0.0173551381941,33789.1591133,135430.056025,115000.776147,0.00237919299025,0.0623701657498,0.0359375324621,19860.7225444,106637.058866,86645.3846665
0.292792792793,0.00388542129794,0.0520681569394,0.0173527248165,33799.8656982,135579.293107,115043.270884,0.00236337731413,0.0623808491167,0.035937930869,19865.5711117,106809.577896,86680.2987544
0.293293293293,0.00387196923292,0.0520373248067,0.017350586574,33810.5239455,135728.504907,115085.765621,0.00234917195367,0.0624017370627,0.0359382140756,19870.4760008,106982.197908,86715.2935648
0.293793793794,0.00385851716791,0.052027553735,0.0173486858323,33821.1821929,135877.716706,115128.260358,0.00233650325847,0.0624082571972,0.0359383905394,19875.3831525,107154.891972,86750.3690001
0.294294294294,0.00385309668506,0.0520180691482,0.0173467926976,33831.7626871,136026.928506,115170.755095,0.0023305868845,0.0624145863444,0.0359385641136,19880.0420911,107327.65973,86785.5249626
0.294794794795,0.00384821479883,0.0520088999682,0.0173448995629,33842.3379672,136176.140305,115213.249833,0.0023251611036,0.0624207024369,0.0359387382354,19884.6865514,107500.500827,86820.7613545
0.295295295295,0.00384333291261,0.0519997307882,0.0173430064282,33852.9132472,136325.352105,115255.74457,0.0023198321821,0.0624268459073,0.0359389129049,19889.3333306,107673.414909,86856.0780778
0.295795795796,0.00383845102638,0.0519905616082,0.0173411132934,33863.4885273,136474.563904,115298.239307,0.00231460078901,0.0624330167474,0.0359390881221,19893.9824271,107846.401626,86891.4750345
0.296296296296,0.00383356914015,0.0519813924281,0.0173392201587,33874.0638074,136623.775704,115340.734044,0.00230946758708,0.0624392149491,0.0359392638869,19898.6338391,108019.460628,86926.9521268
0.296796796797,0.00382868725393,0.0519722232481,0.017337327024,33884.6390875,136772.987503,115383.228782,0.0023044332325,0.0624454405042,0.0359394401994,19903.2875651,108192.59157,86962.5092564
0.297297297297,0.0038238053677,0.0519630540681,0.0173354338892,33895.2143676,136922.199303,115425.723519,0.00229949837448,0.0624516934047,0.0359396170596,19907.9436034,108365.794105,86998.1463253
0.297797797798,0.00381892348148,0.0519573370443,0.0173335407545,33905.7896476,137071.411102,115468.218256,0.00229466365496,0.0624551585484,0.0359397944673,19912.6019525,108539.067891,87033.8632353
0.298298298298,0.00381404159525,0.051951988209,0.0173316476198,33916.3649277,137220.622902,115510.712993,0.00228992970819,0.0624583409535,0.0359399724227,19917.2626107,108712.412588,87069.6598881
0.298798798799,0.00380915970903,0.0519373479082,0.0173297544851,33926.9402078,137369.815468,115553.207731,0.00228529716044,0.0624689705384,0.0359401509257,19921.9255763,108885.848369,87105.5361854
0.299299299299,0.00380496350592,0.0519190683161,0.0173132077454,33937.5078987,137518.944923,115595.678993,0.0022804721045,0.0624826357692,0.035941198948,19926.5877749,109059.421658,87141.5176923
0.2997997998,0.00380251439928,0.0519137194807,0.0171960457838,33947.9945139,137668.074378,115637.989069,0.00227917220871,0.0624858663513,0.0359584117166,19931.2193481,109233.064784,87177.754825
0.3003003003,0.00380006529264,0.0519096814437,0.0171907417476,33958.4811291,137817.203833,115680.299146,0.0022778862543,0.0624882108224,0.0359593644811,19935.8530386,109406.777415,87214.0712472
0.300800800801,0.003797616186,0.0519030393177,0.017185834921,33968.9677443,137966.290738,115722.525005,0.00227661426488,0.0624815257224,0.0359606123142,19940.488845,109580.490314,87250.5183023
0.301301301301,0.00379516707936,0.0518898873527,0.017178802727,33979.4543596,138115.331298,115764.69147,0.00227535626388,0.0624676184312,0.0359626463239,19945.1267658,109754.196944,87287.0807517
0.301801801802,0.00379271797273,0.0518854639646,0.017171770533,33989.9409748,138264.371859,115806.857936,0.00227411227451,0.0624634745437,0.0359647162078,19949.7667995,109927.972003,87323.7222234
